county_fips,county_name,count_walk_to_mean,count_walk_to_error,overweight_mean,overweight_error,asthma_mean,asthma_error,flu_shot_mean,flu_shot_error,poor_oral_health_mean,poor_oral_health_error,hypertension_mean,hypertension_error
123,Vernon,*,*,*,*,*,*,*,*,*,*,*,*
125,Vilas,*,*,*,*,*,*,*,*,*,*,*,*
127,Walworth,7.126226,0.525858,0.855432,0.048385,0.100793,0.033983,0.226041,0.070451,0.274434,0.071825,0.595837,0.057971
129,Washburn,*,*,*,*,*,*,*,*,*,*,*,*
131,Washington,4.276126,0.592597,0.702747,0.066694,0.198835,0.062772,0.540242,0.058306,0.139061,0.025546,0.347395,0.074934
133,Waukesha,5.463975,0.749485,0.717118,0.023224,0.090731,0.027553,0.503301,0.056435,0.113337,0.030867,0.345117,0.068198
135,Waupaca,3.754359,0.873466,0.791674,0.036457,0.093640,0.027890,0.501442,0.057436,0.223223,0.056968,0.365087,0.008862
137,Waushara,*,*,*,*,*,*,*,*,*,*,*,*
139,Winnebago,5.340944,1.442296,0.681994,0.032705,0.074489,0.041585,0.455820,0.008899,0.257300,0.086902,0.284732,0.034880
141,Wood,2.941042,0.679446,0.759038,0.020453,0.174168,0.083080,0.307758,0.100788,0.240057,0.052015,0.398836,0.057839
